host,port
host,port
10.0.5.21,22
10.0.5.21,80
10.0.5.22,22
10.0.5.23,22
10.0.5.23,80
10.0.5.24,22
10.0.5.24,80
10.0.5.25,22
10.0.5.25,80
10.0.5.26,22
10.0.5.26,139
10.0.5.26,445
10.0.5.27,22
10.0.5.27,80
10.0.5.28,80
10.0.5.31,22
10.0.5.31,443
10.0.5.31,3389
10.0.5.32,22
10.0.5.32,80
ip,port
10.0.5.22,53
ip,port
10.0.5.22,53
ip,port
10.0.5.22,53
host,port
10.0.5.21,22
10.0.5.21,80
10.0.5.22,22
10.0.5.23,22
10.0.5.23,80
10.0.5.24,22
10.0.5.24,80
10.0.5.25,22
10.0.5.25,80
10.0.5.26,22
10.0.5.26,139
10.0.5.26,445
10.0.5.27,22
10.0.5.27,80
10.0.5.28,80
10.0.5.31,22
10.0.5.31,443
10.0.5.31,3389
10.0.5.32,22
10.0.5.32,80
